Study,Request Status,Project #,E/N,E/N at study,MW,Tech,State,Made it to Phase 2,stayed,M2,M3,M4,Total Security,SPP AFS ERIS,SPP AFS NRIS,OTH AFS,MISO ERIS,MISO NRIS,NEW ERIS ($ MM),NEW NRIS ($ MM),NEW ERIS ($/kW),NEW NRIS ($/kW),Total Network Upgrades,
DPP-2018-APREast (ATC),Active,J1000,NRIS,N,50,Solar,WI,1,1,200000,0,1088292,1288292,,,0,6441458,,6441458,6441458,129,129,6441458,
DPP-2018-APRWest,Withdrawn,J1001,NRIS,N,40,Solar,MN,1,0,160000,345292,1149688,1654980,0,33148,0,8265000,0,8265000,8298148,207,207,8298148,
DPP-2018-APREast (ATC),Active,J1002,NRIS,N,99,Solar,WI,1,1,396000,0,577015,973015,,,887272,2618981,0,2618981,3506253,26,35,3506253,
DPP-2018-APREast (ATC),Active,J1003,NRIS,N,50,Solar,WI,1,1,200000,0,437691,637691,,,410328,366697,2798507,366697,3575532,7,72,3575532,
DPP-2018-APREast (ATC),Withdrawn,J1009,NRIS,N,400,Solar,WI,1,0,1600000,0,591762,2191762,,,6050000,10951322,0,10951322,17001322,27,43,17001322,
DPP-2018-APREast (ATC),Withdrawn,J1010,NRIS,N,400,Solar,WI,1,0,1600000,0,0,1600000,,,6520000,2753837,0,2753837,9273837,7,23,9273837,
DPP-2018-APREast (ATC),Withdrawn,J1011,NRIS,N,400,Solar,WI,1,0,1600000,0,0,1600000,,,25368000,2753837,0,2753837,28121837,7,70,28121837,
DPP-2018-APRCentral,Active,J1022,ERIS,N,150,Wind,IL,1,1,600000,0,0,600000,,,151000,1970000,0,1970000,2121000,13,14,1970000,
DPP-2018-APRWest,Withdrawn,J1024,NRIS,N,200,Wind,MO,1,0,800000,1510089,1294200,3604289,12000000,,0,10633003,7388443,22633003,30021446,113,150,30021446,
DPP-2018-APRCentral,Active,J1025,NRIS,N,300,Wind,MO,1,1,1200000,2948233,1343319,5491552,,,0,27457764,0,27457764,27457764,92,92,27457764,
DPP-2018-APRCentral,Active,J1026,NRIS,N,400,Wind,MO,1,1,1600000,1203627,3286991,6090618,,,4037000,14009254,16443844,14009254,34490098,35,86,34490098,
DPP-2018-APRCentral,Active,J1027,NRIS,N,150,Solar,IN,1,1,600000,507695,1066775,2174470,,,0,717200,10155153,717200,10872353,5,72,10872353,
DPP-2018-APRCentral,Active,J1028,NRIS,N,150,Solar,IN,1,1,600000,1109879,2682564,4392443,,,0,9916400,12045819,9916400,21962219,66,146,21962219,
